時間,設備,值
2024-10-19 14:43:25,SA-43/TEMPERATURE,30.32
2024-10-19 14:43:27,SA-43/TEMPERATURE,29.85
2024-10-19 14:45:35,SA-43/TEMPERATURE,29.39
2024-10-19 14:45:37,SA-43/TEMPERATURE,29.85
2024-10-19 14:47:10,SA-43/TEMPERATURE,30.32
2024-10-19 14:47:11,SA-43/TEMPERATURE,29.85
2024-10-19 14:47:19,SA-43/TEMPERATURE,30.32
2024-10-19 14:47:19,SA-43/TEMPERATURE,29.85
2024-10-19 14:48:21,SA-43/TEMPERATURE,29.39
2024-10-19 14:48:23,SA-43/TEMPERATURE,29.85
2024-10-19 14:48:25,SA-43/TEMPERATURE,29.39
2024-10-19 14:48:27,SA-43/TEMPERATURE,29.85
2024-10-19 14:49:31,SA-43/TEMPERATURE,29.39
2024-10-19 14:49:33,SA-43/TEMPERATURE,29.85
2024-10-19 14:49:43,SA-43/TEMPERATURE,29.39
2024-10-19 14:49:45,SA-43/TEMPERATURE,29.85
2024-10-19 14:49:53,SA-43/TEMPERATURE,28.92
2024-10-19 14:49:55,SA-43/TEMPERATURE,29.85
2024-10-19 14:50:01,SA-43/TEMPERATURE,29.39
2024-10-19 14:50:03,SA-43/TEMPERATURE,29.85
2024-10-19 14:50:23,SA-43/TEMPERATURE,28.92
2024-10-19 14:50:25,SA-43/TEMPERATURE,29.85
2024-10-19 14:50:37,SA-43/TEMPERATURE,29.39
2024-10-19 14:50:39,SA-43/TEMPERATURE,29.85
2024-10-19 14:50:45,SA-43/TEMPERATURE,29.39
2024-10-19 14:50:47,SA-43/TEMPERATURE,29.85
2024-10-19 14:50:49,SA-43/TEMPERATURE,29.39
2024-10-19 14:50:51,SA-43/TEMPERATURE,29.85
2024-10-19 14:50:53,SA-43/TEMPERATURE,29.39
2024-10-19 14:50:55,SA-43/TEMPERATURE,29.85
2024-10-19 14:51:21,SA-43/TEMPERATURE,29.39
2024-10-19 14:51:25,SA-43/TEMPERATURE,29.85
2024-10-19 14:51:31,SA-43/TEMPERATURE,29.39
2024-10-19 14:51:33,SA-43/TEMPERATURE,29.85
2024-10-19 14:51:35,SA-43/TEMPERATURE,29.39
2024-10-19 14:51:37,SA-43/TEMPERATURE,29.85
2024-10-19 14:51:45,SA-43/TEMPERATURE,29.39
2024-10-19 14:51:47,SA-43/TEMPERATURE,29.85
2024-10-19 14:52:07,SA-43/TEMPERATURE,29.39
2024-10-19 14:52:09,SA-43/TEMPERATURE,29.85
2024-10-19 14:52:15,SA-43/TEMPERATURE,29.39
2024-10-19 14:52:17,SA-43/TEMPERATURE,29.85
2024-10-19 14:52:35,SA-43/TEMPERATURE,29.39
2024-10-19 14:52:39,SA-43/TEMPERATURE,29.85
2024-10-19 14:52:49,SA-43/TEMPERATURE,29.39
2024-10-19 14:52:51,SA-43/TEMPERATURE,29.85
2024-10-19 14:52:53,SA-43/TEMPERATURE,29.39
2024-10-19 14:52:55,SA-43/TEMPERATURE,29.85
2024-10-19 14:53:05,SA-43/TEMPERATURE,29.39
2024-10-19 14:53:07,SA-43/TEMPERATURE,29.85
2024-10-19 14:53:13,SA-43/TEMPERATURE,29.39
2024-10-19 14:53:15,SA-43/TEMPERATURE,29.85
2024-10-19 14:53:17,SA-43/TEMPERATURE,29.39
2024-10-19 14:53:19,SA-43/TEMPERATURE,29.85
2024-10-19 14:53:21,SA-43/TEMPERATURE,29.39
2024-10-19 14:53:23,SA-43/TEMPERATURE,29.85
2024-10-19 14:53:47,SA-43/TEMPERATURE,29.39
2024-10-19 14:53:49,SA-43/TEMPERATURE,29.85
2024-10-19 14:53:55,SA-43/TEMPERATURE,29.39
2024-10-19 14:53:57,SA-43/TEMPERATURE,29.85
2024-10-19 14:54:53,SA-43/TEMPERATURE,29.39
2024-10-19 14:54:55,SA-43/TEMPERATURE,29.85
2024-10-19 14:56:46,SA-43/LED_LEVEL,2
2024-10-19 14:56:46,SA-43/TEMPERATURE,29.85
2024-10-19 14:58:09,SA-43/TEMPERATURE,30.32
2024-10-19 14:58:11,SA-43/TEMPERATURE,29.85
2024-10-19 14:58:31,SA-43/TEMPERATURE,29.39
2024-10-19 14:58:33,SA-43/TEMPERATURE,29.85
2024-10-19 14:58:39,SA-43/TEMPERATURE,30.32
2024-10-19 14:58:41,SA-43/TEMPERATURE,29.85
2024-10-19 14:59:35,SA-43/TEMPERATURE,29.85
2024-10-19 14:59:35,SA-43/LED_LEVEL,2
2024-10-19 14:59:46,SA-43/LED_LEVEL,1
2024-10-19 14:59:46,SA-43/LED_LEVEL,0
2024-10-19 14:59:47,SA-43/LED_LEVEL,2
2024-10-19 15:00:17,SA-43/TEMPERATURE,30.32
2024-10-19 15:00:19,SA-43/TEMPERATURE,29.85
2024-10-19 15:01:03,SA-43/TEMPERATURE,30.32
2024-10-19 15:01:05,SA-43/TEMPERATURE,29.85
2024-10-19 15:01:17,SA-43/TEMPERATURE,29.85
2024-10-19 15:01:17,SA-43/LED_LEVEL,2
2024-10-19 15:01:21,SA-43/TEMPERATURE,30.32
2024-10-19 15:01:23,SA-43/TEMPERATURE,29.85
2024-10-19 15:01:47,SA-43/TEMPERATURE,30.32
2024-10-19 15:01:49,SA-43/TEMPERATURE,29.85
2024-10-19 15:02:13,SA-43/TEMPERATURE,30.32
2024-10-19 15:02:15,SA-43/TEMPERATURE,29.85
2024-10-19 15:02:29,SA-43/TEMPERATURE,30.32
2024-10-19 15:02:31,SA-43/TEMPERATURE,29.85
2024-10-19 15:02:47,SA-43/TEMPERATURE,30.32
2024-10-19 15:02:49,SA-43/TEMPERATURE,29.85
2024-10-19 15:02:55,SA-43/TEMPERATURE,30.32
2024-10-19 15:02:57,SA-43/TEMPERATURE,29.85
2024-10-19 15:03:11,SA-43/LED_LEVEL,2
2024-10-19 15:03:12,SA-43/TEMPERATURE,29.85
2024-10-19 15:03:12,SA-43/LINE_LEVEL,1
2024-10-19 15:03:16,SA-43/TEMPERATURE,30.32
2024-10-19 15:03:18,SA-43/TEMPERATURE,29.85
2024-10-19 15:03:32,SA-43/TEMPERATURE,30.32
2024-10-19 15:03:34,SA-43/TEMPERATURE,29.85
2024-10-19 15:03:40,SA-43/TEMPERATURE,30.32
2024-10-19 15:03:42,SA-43/TEMPERATURE,29.85
2024-10-19 15:03:44,SA-43/TEMPERATURE,30.32
2024-10-19 15:03:46,SA-43/TEMPERATURE,29.85
2024-10-19 15:03:58,SA-43/TEMPERATURE,30.32
2024-10-19 15:04:00,SA-43/TEMPERATURE,29.85
2024-10-19 15:04:02,SA-43/TEMPERATURE,30.32
2024-10-19 15:04:04,SA-43/TEMPERATURE,29.85
2024-10-19 15:04:06,SA-43/TEMPERATURE,30.32
2024-10-19 15:04:11,SA-43/TEMPERATURE,29.85
2024-10-19 15:04:14,SA-43/TEMPERATURE,30.32
2024-10-19 15:04:16,SA-43/TEMPERATURE,29.85
2024-10-19 15:04:21,SA-43/TEMPERATURE,30.32
2024-10-19 15:04:23,SA-43/TEMPERATURE,29.85
2024-10-19 15:04:25,SA-43/LINE_LEVEL,0
2024-10-19 15:04:27,SA-43/LINE_LEVEL,1
2024-10-19 15:04:36,SA-43/LED_LEVEL,1
2024-10-19 15:04:36,SA-43/LED_LEVEL,0
2024-10-19 15:04:37,SA-43/LED_LEVEL,1
2024-10-19 15:04:37,SA-43/LED_LEVEL,2
2024-10-19 15:04:38,SA-43/LED_LEVEL,3
2024-10-19 15:04:39,SA-43/TEMPERATURE,30.32
2024-10-19 15:04:41,SA-43/TEMPERATURE,29.85
2024-10-19 15:05:11,SA-43/TEMPERATURE,30.32
2024-10-19 15:05:13,SA-43/TEMPERATURE,29.85
